Human,Mouse
329,11797
330,11796
331,11798
332,11799
333,11803
334,11804
335,11806
336,11807
337,11808
338,238055
339,11810
341,11812
343,11833
344,11813
345,11814
346,11425
347,11815
348,11816
350,11818
351,11820
353,11821
355,14102
356,14103
357,110380
358,11826
359,11827
360,11828
361,11829
362,11830
363,11831
364,11832
366,64008
367,11835
368,27421
369,11836
372,213827
373,81003
375,11841
377,11842
378,11843
379,80981
381,11844
382,11845
383,11846
384,11847
387,11848
388,11852
389,11853
390,74194
391,56212
392,228359
393,171207
394,11855
395,11856
396,192662
397,11857
398,14570
399,74734
400,104303
401,11859
402,56327
403,56350
405,11863
406,11865
407,170735
408,109689
409,216869
410,11883
411,11881
417,11870
419,109979
420,109978
421,11877
427,11886
429,17172
430,17173
432,11889
433,11890
434,50518
435,109900
439,56495
440,27053
443,11484
444,65973
445,11898
460,11899
462,11905
463,11906
467,11910
468,11911
471,108147
472,11920
473,68703
474,11921
475,11927
476,11928
477,98660
478,232975
479,192113
480,27222
481,11931
482,11932
483,11933
486,11936
487,11937
488,11938
489,53313
490,67972
491,11941
492,320707
493,381290
495,11944
496,11945
498,11946
501,110695
506,11947
509,11949
513,66043
515,11950
516,11951
517,67942
518,228033
521,11958
522,11957
523,11964
525,110935
526,11966
527,11984
528,66335
529,11973
533,114143
534,66237
535,11975
537,54411
538,11977
539,28080
540,11979
545,245000
546,22589
547,16560
549,11992
550,11993
551,11998
552,54140
553,26361
554,12000
558,26362
563,12007
567,12010
570,12012
571,12013
572,12015
573,12017
575,107831
576,230775
577,210933
578,12018
579,12020
580,12021
581,12028
582,52028
583,67378
585,102774
586,12035
587,12036
590,12038
593,12039
594,12040
595,12443
596,12043
598,12048
599,12050
602,12051
604,12053
605,77045
607,77578
608,21935
610,15166
611,12057
613,110279
617,66821
622,71911
623,12061
624,12062
627,12064
629,14962
631,12075
633,12111
635,12116
636,12121
637,12122
638,12124
639,12142
640,12143
641,12144
642,104184
643,12145
644,109778
645,233016
646,12173
649,12153
650,12156
651,110075
652,12159
653,12160
654,12161
655,12162
656,12163
657,12166
658,12167
659,12168
660,12169
661,67065
662,224630
663,12175
664,12176
666,51800
668,26927
669,12183
670,68021
671,329547
672,12189
673,109880
675,12190
676,114642
677,12192
678,12193
680,12209
682,12215
683,12182
684,69550
685,12223
686,26363
687,16601
688,12224
689,218490
694,12226
695,12229
696,12231
699,12235
701,12236
705,53414
706,12257
708,12261
710,12258
712,12259
713,12260
714,12262
717,12263
718,12266
719,12267
726,12337
727,15139
728,12273
729,12274
730,109828
731,230558
732,110382
733,69379
734,209212
735,12279
738,68505
740,18120
741,29805
744,77015
745,225908
746,69038
747,269060
752,57778
753,52662
754,108705
755,67884
757,77975
758,223726
759,12346
760,12349
761,12350
762,12351
763,12352
765,12353
766,12354
767,12319
768,230099
770,12348
771,76459
773,12286
774,12287
775,12288
776,12289
777,12290
778,54652
779,12292
780,12305
781,12293
782,12295
783,12296
784,12297
785,12298
786,12299
788,57279
790,69719
793,12307
794,12308
795,12309
796,12310
799,12311
810,70405
811,12317
813,12321
814,12326
815,12322
817,108058
818,12325
819,12328
820,12796
821,12330
822,12332
823,12333
824,12334
825,12335
826,12336
827,12338
829,12340
830,12343
831,12380
832,12345
833,27267
834,12362
835,12366
836,12367
837,12363
839,12368
840,12369
841,12370
842,12371
844,12372
845,12373
846,12374
847,12359
857,12389
858,12390
859,12391
860,12393
861,12394
862,12395
863,12398
864,12399
865,12400
866,12401
867,12402
868,208650
869,12404
871,12406
873,12408
874,109857
875,12411
881,442829
883,70266
885,12424
886,12425
887,12426
889,79264
890,12428
892,51813
894,12444
896,12445
898,12447
899,12449
900,12450
901,12452
902,66671
904,12455
905,72949
908,12466
912,12479
914,12481
915,12500
916,12501
917,12502
919,12503
920,12504
921,12507
922,11801
923,12511
924,12516
925,12525
926,12526
928,12527
929,12475
930,12478
931,12482
932,170813
933,12483
939,21940
940,12487
941,12519
942,12524
943,21941
944,21949
947,12490
948,12491
949,20778
950,12492
951,12493
952,12494
953,12495
954,12496
955,12497
956,215446
957,12499
958,21939
959,21947
960,12505
961,16423
962,12506
963,12508
966,333883
967,12512
968,12514
969,12515
970,21948
971,12517
972,16149
973,12518
974,15985
975,12520
976,26364
977,12476
978,72269
983,12534
987,80877
988,71702
989,235072
990,23834
991,107995
993,12530
994,12531
995,12532
996,217232
997,216150
998,12540
999,12550
1000,12558
1001,12560
1002,12561
1003,12562
1004,12563
1005,241201
1006,12564
1007,12565
1008,320873
1009,12552
1010,215654
1012,12554
1013,12555
1014,12556
1015,12557
1016,320865
1017,12566
1019,12567
1020,12568
1021,12571
1022,12572
1024,264064
1025,107951
1026,12575
1027,12576
1028,12577
1029,12578
1030,12579
1031,12580
1032,12581
1033,72391
1036,12583
1039,12585
1040,74596
1041,386463
1044,12590
1045,12591
1046,12592
1047,12745
1050,12606
1051,12608
1052,12609
1053,110794
1054,12611
1056,12613
1058,12615
1059,12616
1060,12617
1062,229841
1063,108000
1066,12623
1068,26369
1069,26370
1070,12626
1072,12631
1073,12632
1075,13032
1080,12638
1081,12640
1101,12643
1102,105670
1103,12647
1104,100088
1105,12648
1106,244059
1107,216848
1108,107932
1109,83702
1111,12649
1112,71375
1113,12652
1114,12653
1116,12654
1118,71884
1119,12660
1120,12651
1121,12662
1122,12663
1123,108699
1124,69993
1128,12669
1129,243764
1130,17101
1131,12671
1132,12672
1133,213788
1134,11435
1135,110902
1136,110834
1137,11438
1138,110835
1139,11441
1140,11443
1141,11444
1142,108043
1143,108015
1144,11447
1145,11448
1146,11449
1147,12675
1149,12683
1152,12709
1153,12696
1154,12700
1155,66411
1158,12715
1160,76722
1161,71991
1163,54124
1164,66197
1173,11773
1174,11769
1175,232910
1176,11777
1179,23844
1180,12723
1181,12724
1182,12725
1183,12727
1184,12728
1185,26372
1186,26373
1187,56365
1188,12733
1192,114584
1195,12747
1196,12748
1198,102414
1200,12751
1201,12752
1203,211286
1207,12729
1208,109791
1209,56457
1211,12757
1212,74325
1213,67300
1215,17228
1230,12768
1232,12771
1233,12773
1234,12774
1235,12458
1236,12775
1237,12776
1238,59289
1240,14747
1241,16995
1244,12780
1258,333329
1259,12788
1260,12789
1261,12790
1262,233649
1263,12795
1264,12797
1265,12798
1266,71994
1267,12799
1268,12801
1269,12802
1270,12803
1271,12804
1272,12805
1277,12842
1278,12843
1280,12824
1281,12825
1282,12826
1284,12827
1285,12828
1286,12829
1287,12830
1288,94216
1289,12831
1290,12832
1291,12833
1292,12834
1293,12835
1294,12836
1295,12837
1296,329941
1297,12839
1298,12840
1299,12841
1300,12813
1301,12814
1302,12815
1303,12816
1305,12817
1306,12819
1307,107581
1308,12821
1310,12823
1311,12845
1312,12846
1314,12847
1315,70349
1316,23849
1317,20529
1318,20530
1325,12854
1326,26410
1327,12857
1329,12859
1337,12861
1339,12862
1340,110323
1345,12864
1346,12865
1347,12866
1349,66142
1350,12867
1351,12868
1352,70383
1353,69802
1355,226139
1356,12870
1357,109697
1358,232680
1359,12873
1360,76703
1361,56373
1362,12874
1363,12876
1364,12740
1365,12739
1366,53624
1368,70574
1369,93721
1370,71756
1371,12892
1373,227231
1374,12894
1375,12895
1376,12896
1380,12902
1381,12903
1382,12904
1384,12908
1385,12912
1386,11909
1387,12914
1388,12915
1389,232430
1390,12916
1392,12918
1393,12919
1394,12921
1395,12922
1396,12925
1397,68337
1398,12928
1399,12929
1400,12933
1401,12944
1404,12950
1406,12951
1407,12952
1408,12953
1409,12954
1410,12955
1411,12957
1412,12958
1413,12959
1414,12960
1415,12961
1417,12962
1418,12964
1419,12965
1420,12966
1421,12967
1427,12970
1428,12971
1429,12972
1431,12974
1432,26416
1434,110750
1435,12977
1436,12978
1437,12981
1438,12982
1440,12985
1441,12986
1445,12988
1447,12991
1448,12994
1452,93687
1453,104318
1454,27373
1455,103236
1456,70425
1457,12995
1459,13000
1460,13001
1462,13003
1463,13004
1464,121021
1465,13007
1466,13008
1468,27376
1471,13010
1473,58214
1474,73720
1476,13014
1477,67337
1478,108062
1479,228410
1482,18091
1486,74245
1487,13016
1488,13017
1489,13019
1490,14219
1491,107869
1493,12477
1495,12385
1496,12386
1497,83429
1499,12387
1500,12388
1501,18163
1503,51797
1506,109660
1508,13030
1509,13033
1510,13034
1511,13035
1512,13036
1513,13038
1515,13039
1519,229445
1520,13040
1521,13041
1522,64138
1523,13047
1524,13051
1525,13052
1527,385380
1528,109672
1534,13056
1535,13057
1536,13058
1537,66445
1538,67407
1539,74914
1540,74256
1543,13076
1544,13077
1545,13078
1555,13088
1559,72082
1571,13106
1572,13107
1573,13110
1580,13120
1581,13122
1582,13124
1583,13070
1584,13072
1585,110115
1586,13074
1588,13075
1589,13079
1591,13081
1592,13082
1593,104086
1594,13115
1595,13121
1600,13131
1601,13132
1602,13134
1603,13135
1605,13138
1606,13139
1607,217480
1608,110197
1609,110524
1610,13142
1611,223453
1612,69635
1613,13144
1615,226414
1616,13163
1620,56710
1621,13166
1622,13167
1627,56320
1628,13170
1629,13171
1630,13176
1632,13177
1633,13178
1634,13179
1635,320685
1636,11421
1638,13190
1639,13191
1641,13193
1642,13194
1643,107986
1644,13195
1647,13197
1649,13198
1650,13200
1652,13202
1653,104721
1654,13205
1655,13207
1656,13209
1657,240283
1659,217207
1660,13211
1662,77591
1663,320209
1665,13204
1666,67460
1674,13346
1675,11537
1676,13347
1677,13368
1678,30058
1687,54722
1690,12810
1716,27369
1717,13360
1718,74754
1719,13361
1723,56749
1725,330817
1727,109754
1728,18104
1729,13367
1730,54004
1731,54204
1733,13370
1734,13371
1735,107585
1736,245474
1737,235339
1738,13382
1739,13383
1740,23859
1741,53310
1742,13385
1743,78920
1745,13390
1746,13392
1747,13393
1748,13394
1749,13395
1750,13396
1755,12945
1756,13405
1757,192166
1758,13406
1759,13429
1760,13400
1761,50796
1762,13401
1763,327762
1767,110082
1768,330355
1769,13417
1770,237806
1773,13419
1774,69537
1775,66705
1776,13421
1777,13423
1778,13424
1780,13426
1781,13427
1783,234663
1785,13430
1786,13433
1787,13434
1788,13435
1789,13436
1791,21673
1793,330662
1794,94176
1795,208869
1796,13448
1797,112403
1798,13478
1800,13479
1801,116905
1802,67728
1803,13482
1804,13483
1805,56429
1806,99586
1807,64705
1808,12934
1810,13486
1811,13487
1812,13488
1813,13489
1814,13490
1815,13491
1816,13492
1819,13495
1820,13496
1821,13497
1822,13498
1823,13505
1824,13506
1825,13507
1826,13508
1827,54720
1829,13511
1830,13512
1831,14605
1832,109620
1833,13516
1834,666279
1836,13521
1837,13527
1838,13528
1839,15200
1840,14357
1841,21915
1842,407800
1843,19252
1844,13537
1845,72349
1846,319520
1847,240672
1848,67603
1849,235584
1850,18218
1852,75590
1854,110074
1855,13542
1856,13543
1857,13544
1859,13548
1861,30931
1869,13555
1870,242705
1871,13557
1874,104394
1875,13559
1876,50496
1877,13560
1879,13591
1880,321019
1889,230857
1890,72962
1891,51798
1892,93747
1893,13601
1894,13605
1896,13607
1901,13609
1902,14745
1903,13610
1906,13614
1907,13615
1908,13616
1909,13617
1910,13618
1911,13619
1912,54383
1917,13628
1933,55949
1936,66656
1937,67160
1938,13629
1939,16865
1942,13636
1943,13637
1944,13638
1945,13639
1946,13640
1947,13641
1948,13642
1949,13643
1950,13645
1951,107934
1952,53883
1953,230971
1954,269878
1955,230316
1956,13649
1958,13653
1959,13654
1960,13655
1961,13656
1962,74147
1964,66235
1965,13665
1967,209354
1968,26908
1969,13836
1973,13681
1974,13682
1975,75705
1977,13684
1978,13685
1979,13688
1981,208643
1982,13690
1983,217869
1984,276770
1990,109901
1991,50701
1992,66222
1993,15569
1994,15568
1995,15571
1996,15572
1997,13709
1998,69257
1999,13710
2000,56501
2001,13711
2002,13712
2004,13713
2005,13714
2006,13717
2009,68519
2010,13726
2011,13728
2012,13730
2013,13731
2014,13732
2015,13733
2016,13796
2017,13043
2018,13797
2019,13798
2020,13799
2021,13804
2022,13805
2026,13807
2027,13808
2028,13809
2029,56205
2030,63959
2033,328572
2034,13819
2035,269587
2036,13821
2037,13822
2038,13828
2039,13829
2040,13830
2041,13835
2042,13837
2043,13838
2044,13839
2045,13841
2046,13842
2047,270190
2048,13844
2049,13845
2050,13846
2051,13848
2052,13849
2053,13850
2054,13852
2055,26889
2056,13856
2057,13857
2058,107508
2059,13860
2060,13858
2063,13864
2064,13866
2065,13867
2066,13869
2067,13870
2068,13871
2069,13874
2070,14051
2071,13872
2072,50505
2073,22592
2074,319955
2077,13875
2078,13876
2079,13877
2081,78943
2091,14113
2098,13885
2099,13982
2100,13983
2101,26379
2103,26380
2104,26381
2107,225363
2108,110842
2109,110826
2110,66841
2113,23871
2114,23872
2115,14009
2116,14008
2117,27049
2118,18612
2119,104156
2120,14011
2121,59056
2122,14013
2123,14017
2124,216984
2125,14027
2128,14028
2130,14030
2131,14042
2132,14043
2134,56219
2135,58193
2137,54616
2138,14048
2139,14049
2140,14050
2145,14055
2146,14056
2147,14061
2149,14062
2150,14063
2151,14064
2152,14066
2153,14067
2155,14068
2157,14069
2158,14071
2159,14058
2160,109821
2161,58992
2162,74145
2165,14060
2166,14073
2167,11770
2168,14080
2169,14079
2170,14077
2171,16592
2172,16204
2173,12140
2175,14087
2176,14088
2177,211651
2178,72775
2180,14081
2181,74205
2182,50790
2184,14085
2185,19229
2186,207165
2187,237211
2188,100040608
2189,60534
2191,14089
2192,14114
2193,66590
2194,14104
2195,14107
2196,245827
2197,14109
2199,14115
2200,14118
2201,14119
2202,216616
2203,14121
2205,14125
2206,14126
2207,14127
2208,14128
2209,14129
2212,14131
2213,14130
2214,246256
2217,14132
2218,246179
2219,14134
2222,14137
2224,110196
2230,14148
2232,14149
2235,14151
2237,14156
2239,14735
2241,14158
2242,14159
2243,14161
2244,110135
2245,14163
2246,14164
2247,14173
2248,14174
2249,14175
2250,14176
2251,14177
2252,14178
2253,14179
2254,14180
2255,14165
2256,14166
2257,14167
2258,14168
2259,14169
2260,14182
2261,14184
2262,103978
2263,14183
2264,14186
2266,99571
2267,234199
2268,14191
2271,14194
2272,14198
2273,14199
2274,14200
2275,14201
2277,14205
2280,14225
2281,14226
2286,14227
2287,30795
2288,14228
2290,15228
2294,15227
2295,14238
2296,17300
2297,15229
2299,14233
2300,14241
2301,30923
2302,15223
2303,14234
2304,110805
2305,14235
2306,17301
2307,14239
2308,56458
2309,56484
2313,14247
2314,14248
2315,77836
2316,192176
2317,286940
2318,68794
2319,14252
2321,14254
2322,14255
2323,14256
2324,14257
2326,14261
2327,55990
2328,14262
2329,226564
2330,14263
2331,14264
2332,14265
2334,14266
2335,14268
2339,14272
2342,110606
2348,14275
2350,14276
2353,14281
2354,14282
2355,14284
2356,14287
2357,14293
2358,14289
2395,14297
2444,14302
2475,56717
2483,14300
2487,20378
2488,14308
2491,102920
2492,14309
2494,26424
2495,14319
2515,11495
2516,26423
2517,71665
2519,66848
2520,14459
2521,233908
2523,14343
2524,14344
2526,14345
2529,14347
2530,53618
2531,70750
2532,13349
2533,23880
2534,14360
2535,57265
2538,14377
2539,14381
2542,14385
2547,14375
2548,14387
2549,14388
2550,54393
2551,14390
2553,14391
2554,14394
2555,14395
2556,14396
2557,14397
2558,110886
2559,14399
2560,14400
2561,14401
2562,14402
2563,14403
2564,14404
2565,14405
2566,14406
2567,14407
2568,216643
2569,14408
2570,14409
2571,14415
2572,14417
2580,231580
2581,14420
2582,74246
2583,14421
2584,14635
2585,69976
2587,14427
2588,50917
2589,14423
2590,108148
2591,14425
2592,14430
2593,14431
2595,76051
2596,14432
2615,434215
2617,353172
2618,14450
2619,14451
2620,14453
2621,14456
2622,104346
2623,14460
2624,14461
2625,14462
2626,14463
2627,14465
2628,67092
2629,14466
2631,14467
2632,74185
2634,14468
2636,231044
2637,14472
2638,14473
2639,270076
2641,14526
2642,14527
2643,14528
2644,320415
2645,103988
2646,231103
2647,14533
2648,14534
2649,14536
2650,14537
2651,14538
2653,68133
2657,14559
2658,12165
2660,17700
2661,14566
2662,14560
2664,14567
2665,14569
2668,14573
2669,14579
2670,14580
2671,11692
2672,14581
2673,14583
2674,14585
2675,14586
2676,14587
2677,56316
2678,14598
2683,14595
2686,207182
2687,23887
2690,14600
2691,14601
2692,14602
2693,208188
2694,14603
2695,14607
2696,381853
2697,14609
2700,14611
2701,14612
2702,14613
2703,14616
2705,14618
2706,14619
2707,14620
2709,14622
2710,14933
2712,14625
2717,11605
2719,14734
2720,12091
2729,14629
2730,14630
2731,104174
2733,74412
2734,20340
2735,14632
2736,14633
2737,14634
2739,109801
2740,14652
2741,14654
2742,237213
2743,14658
2744,14660
2745,93692
2746,14661
2752,14645
2760,14667
2762,218138
2764,63985
2766,66355
2767,14672
2768,14673
2769,14676
2770,14677
2771,14678
2773,14679
2774,14680
2775,14681
2776,14682
2779,14685
2780,14686
2781,14687
2782,14688
2783,14693
2784,14695
2785,14704
2786,14706
2787,14707
2788,14708
2790,14700
2791,66066
2792,14699
2793,14710
2794,14670
2796,14714
2798,14715
2799,75612
2800,76899
2801,99412
2802,269682
2803,54214
2804,224139
2805,14718
2806,14719
2810,55948
2811,14723
2812,14724
2813,67133
2814,14729
2815,54368
2817,14733
2819,14555
2820,14571
2821,14751
2822,14756
2823,234267
2824,14758
2825,241070
2826,12777
2827,14748
2828,319197
2829,23832
2830,140741
2831,226304
2833,12766
2834,226278
2835,14738
2837,217369
2838,71223
2840,574402
2841,110168
2842,14760
2843,239530
2844,338346
2845,73010
2846,78134
2847,207911
2848,383563
2849,233919
2850,14761
2852,76854
2853,436440
2857,23890
2859,64095
2861,14763
2863,71111
2864,233081
2865,233080
2867,233079
2868,14772
2869,14773
2870,26385
2872,17347
2873,209318
2874,56310
2875,76282
2876,14775
2877,14776
2878,14778
2879,625249
2880,14780
2882,67305
2885,14784
2886,14786
2887,14783
2888,50915
2889,107746
2890,14799
2891,14800
2892,53623
2893,14802
2894,14803
2895,14804
2896,14824
2897,14805
2898,14806
2899,14807
2900,110637
2901,14809
2902,14810
2903,14811
2904,14812
2905,14813
2906,14814
2907,66168
2908,14815
2909,232906
2911,14816
2912,108068
2913,108069
2914,268934
2915,108071
2916,108072
2917,108073
2918,14823
2919,330122
2920,14825
2921,20310
2922,225642
2923,14827
2925,14829
2926,231413
2928,195333
2931,606496
2932,56637
2934,227753
2935,14852
2936,14782
2937,14854
2940,14859
2944,14863
2946,68312
2947,14866
2948,14865
2949,14862
2952,14871
2954,14874
2956,17688
2957,83602
2958,235459
2959,229906
2960,74197
2961,68153
2962,98053
2963,68705
2965,14884
2966,23894
2967,209357
2968,14885
2969,14886
2971,66596
2972,72308
2975,233863
2976,71752
2977,234889
2978,14913
2979,107477
2980,14915
2981,14916
2982,60596
2983,54195
2984,14917
2986,245650
2987,14923
2990,110006
2992,27357
2995,71683
2997,14936
2998,232493
2999,14940
3000,14919
3001,14938
3002,14939
3003,14945
3004,16904
3005,14958
3006,50708
3007,14957
3008,50709
3009,56702
3010,107970
3013,319169
3014,15270
3015,51788
3017,319186
3018,319178
3024,80838
3026,226243
3028,15108
3029,14651
3030,97212
3032,231086
3033,15107
3034,15109
3035,15115
3036,15116
3037,15117
3038,15118
3047,15132
3048,15135
3049,544763
3050,15126
3052,15159
3053,15160
3054,15161
3055,15162
3059,15163
3060,15171
3061,230777
3062,387285
3064,15194
3065,433759
3066,15182
3067,15186
3068,15191
3069,110611
3070,15201
3071,105855
3073,15211
3074,15212
3075,12628
3077,15216
3078,50702
3081,15233
3082,15234
3083,54426
3087,15242
3090,15248
3091,15251
3092,215114
3093,53323
3094,15254
3096,110521
3097,15273
3098,15275
3099,15277
3101,212032
3104,100090
3105,15007
3108,14998
3110,15285
3111,15001
3112,15002
3117,14960
3119,14961
3122,100504404
3123,14969
3131,217082
3133,15040
3135,14991
3140,15064
3141,110948
3142,15284
3145,15288
3146,15289
3148,97165
3149,15354
3155,15356
3156,15357
3157,208715
3158,15360
3159,111241
3161,15366
3162,15368
3163,15369
3164,15370
3166,15371
3167,15372
3169,15375
3170,15376
3171,15377
3172,15378
3174,30942
3175,15379
3176,140483
3177,13340
3178,15382
3181,53379
3182,15384
3183,15381
3184,11991
3185,98758
3187,59013
3188,56258
3189,432467
3190,15387
3191,15388
3192,51810
3195,21908
3196,21909
3198,15394
3199,15399
3200,15400
3201,15401
3202,15402
3203,15403
3204,15404
3205,15405
3206,15395
3207,15396
3208,15444
3209,15398
3211,15407
3212,103889
3213,15410
3214,15412
3215,15413
3216,15414
3217,15415
3218,15416
3219,15417
3221,15423
3222,15424
3223,15425
3224,15426
3227,209448
3228,15421
3229,15422
3231,15429
3232,15434
3233,15436
3234,15437
3235,15438
3236,15430
3237,15431
3238,15432
3239,15433
3240,15439
3241,53602
3242,15445
3248,15446
3249,15451
3251,15452
3257,192236
3263,15458
3265,15461
3266,353283
3267,15463
3268,231801
3269,15465
3270,15464
3273,94175
3274,15466
3275,15468
3276,15469
3280,15205
3281,68196
3284,15492
3290,15483
3291,15484
3292,15485
3293,15487
3294,15486
3295,15488
3297,15499
3298,15500
3299,26386
3300,56812
3301,15502
3305,15482
3306,15512
3308,15525
3309,14828
3312,15481
3313,15526
3315,15507
3316,69253
3320,15519
3321,78908
3326,15516
3329,15510
3336,15528
3337,81489
3338,57431
3339,15530
3340,15531
3344,14236
3350,15550
3351,15551
3352,15552
3355,15557
3356,15558
3357,15559
3358,15560
3359,15561
3360,15562
3361,15563
3362,15565
3363,15566
3364,15574
3371,21923
3373,15586
3375,15874
3376,105148
3381,15891
3382,15893
3383,15894
3384,15896
3386,78369
3394,15900
3396,68572
3397,15901
3398,15902
3399,15903
3400,15904
3416,15925
3417,15926
3418,269951
3419,67834
3420,170718
3421,15929
3422,319554
3423,15931
3425,15932
3426,12630
3429,52668
3430,70110
3431,109032
3433,15958
3449,15967
3454,15975
3455,15976
3456,15977
3458,15978
3459,15979
3460,15980
3475,15982
3476,18518
3479,16000
3480,16001
3481,16002
3482,16004
3483,16005
3484,16006
3485,16008
3486,16009
3487,16010
3488,16011
3489,16012
3490,29817
3491,16007
3508,20589
3512,16069
3516,19664
3547,209268
3549,16147
3550,24010
3551,16150
3552,16175
3553,16176
3554,16177
3556,16180
3557,16181
3558,16183
3559,16184
3560,16185
3561,16186
3563,16188
3565,16189
3566,16190
3567,16191
3568,16192
3569,16193
3570,16194
3572,16195
3574,16196
3575,16197
3577,227288
3578,16198
3579,12765
3581,16199
3586,16153
3587,16154
3588,16155
3589,16156
3592,16159
3593,16160
3594,16161
3595,16162
3596,16163
3597,16164
3598,16165
3600,16168
3601,16169
3603,16170
3604,21942
3605,16171
3606,16173
3607,68837
3608,67781
3609,16201
3611,16202
3612,55980
3613,114663
3614,23917
3617,63859
3619,16319
3620,15930
3621,26356
3622,69260
3623,16322
3624,16323
3625,16324
3626,16325
3627,15945
3628,16329
3630,16334
3631,269180
3632,212111
3633,16330
3635,16331
3636,16332
3638,231070
3640,16336
3642,53626
3643,16337
3645,23920
3646,16341
3651,18609
3652,16351
3654,16179
3655,16403
3656,108960
3658,64602
3659,16362
3660,16363
3661,54131
3662,16364
3663,27056
3664,54139
3665,54123
3667,16367
3669,57444
3670,16392
3671,26968
3672,109700
3673,16398
3674,16399
3675,16400
3676,16401
3678,16402
3679,16404
3680,104099
3681,381924
3682,16407
3683,16408
3684,16409
3685,16410
3687,16411
3688,16412
3689,16414
3690,16416
3691,192897
3692,16418
3693,16419
3694,16420
3695,16421
3696,320910
3697,16424
3698,16425
3699,16426
3700,16427
3702,16428
3703,16430
3704,16434
3705,217837
3706,228550
3707,320404
3708,16438
3709,16439
3710,16440
3712,56357
3713,16447
3714,16450
3716,16451
3717,16452
3718,16453
3720,16468
3725,16476
3726,16477
3727,16478
3728,16480
3732,12521
3735,85305
3736,16485
3737,16490
3738,16491
3739,16492
3741,16493
3742,16494
3743,16495
3744,242151
3745,16500
3746,16502
3747,268345
3748,16504
3749,99738
3750,16506
3751,16508
3752,56543
3753,16509
3754,382571
3755,241794
3756,16510
3757,16511
3758,56379
3759,16518
3760,16519
3761,16520
3762,16521
3763,16522
3764,16523
3765,16524
3766,16513
3767,16514
3768,16515
3769,100040591
3770,211480
3772,16516
3773,16517
3775,16525
3776,16526
3777,16527
3778,16531
3779,16533
3780,84036
3781,140492
3782,140493
3783,16534
3784,16535
3785,16536
3786,110862
3787,16538
3788,16539
3790,238076
3791,16542
3792,23925
3795,16548
3796,16563
3797,16570
3798,16572
3799,16573
3800,16574
3801,16582
3814,280287
3815,16590
3818,16621
3820,100043861
3821,16641
3824,16643
3831,16593
3832,16551
3835,110033
3836,16646
3837,16211
3838,16647
3839,16648
3840,16649
3842,238799
3843,70572
3845,16653
3848,16678
3849,16681
3851,16682
3852,110308
3855,110310
3856,16691
3857,107656
3858,16661
3859,268482
3860,16663
3861,16664
3866,16665
3868,16666
3872,16667
3875,16668
3880,16669
3881,16660
3882,16670
3883,71888
3884,16671
3885,16672
3886,53617
3887,64818
3888,114566
3889,100126226
3890,16680
3891,406219
3892,16679
3895,16709
3897,16728
3898,16763
3899,16764
3902,16768
3903,52855
3906,16770
3908,16773
3909,16774
3910,16775
3911,16776
3912,16777
3913,16779
3914,16780
3915,226519
3916,16783
3918,16782
3920,16784
3921,16785
3925,16765
3927,16796
3929,16803
3930,98386
3931,16816
3932,16818
3934,16819
3936,18826
3937,16822
3938,226413
3939,16828
3945,16832
3948,16833
3949,16835
3950,16841
3952,16846
3953,16847
3954,56384
3955,16848
3956,16852
3957,107753
3958,16854
3959,19039
3960,16855
3964,56048
3965,16859
3973,16867
3975,16869
3976,16878
3977,16880
3978,16881
